INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr
Juniper,AZ-SCA,2640,2867,Lightning/Natural,8/27/20,9/7/20,33.3597222,-110.1191667,Short Grass (1 foot),AZ,SCA,2640,BIA,1,CWZ,PHC
Light,AZ-SCA,2653,937,Human,8/28/20,9/18/20,33.1802778,-110.1538889,Tall Grass (2.5 feet),AZ,SCA,2653,BIA,1,CWZ,PHC
Bolt,AZ-TNF,2658,1420,Lightning/Natural,8/28/20,9/4/20,33.95643,-111.8363,Tall Grass (2.5 feet),AZ,TNF,2658,USFS,7,CWZ,PHC
Buck,AZ-TNF,2664,475,Lightning/Natural,8/29/20,9/1/20,33.6952778,-110.7436111,Brush (2 feet),AZ,TNF,2664,USFS,7,CWZ,PHC
TRAIL TANK,AZ-CNF,878,380,Lightning/Natural,9/6/20,9/8/20,32.3294444,-110.5719444,Short Grass (1 foot),AZ,CNF,878,USFS,7,SEZ,TDC
Anchor,AZ-SCA,2805,742,Human,9/17/20,9/24/20,33.3833333,-110.4666667,Tall Grass (2.5 feet),AZ,SCA,2805,BIA,1,CWZ,PHC
Sears,AZ-TNF,2852,14476,Unknown,9/25/20,10/15/20,33.88522,-111.8159,Tall Grass (2.5 feet),AZ,TNF,2852,USFS,7,CWZ,PHC
Jake Spring,AZ-ASF,1013,86,Human,10/4/20,10/15/20,34.11356,-109.5168,Timber (Litter and Understory),AZ,ASF,1013,USFS,7,WMZ,SDC
ESPINOSA,AZ-A3S,2196,1834,Human,10/5/20,10/24/20,31.6827778,-111.3519444,Tall Grass (2.5 feet),AZ,A3S,2196,AZS,5,SEZ,TDC
ENCINOS,AZ-A3S,2199,14905,Human,10/6/20,10/26/20,31.62289,-111.6236,Tall Grass (2.5 feet),AZ,A3S,2199,AZS,5,SEZ,TDC
White,AZ-CRD,2151,337,Unknown,10/10/20,10/16/20,35.3470357,-114.0890549,Tall Grass (2.5 feet),AZ,CRD,2151,BLM,2,CWZ,PDC
Horse,AZ-PNF,2178,9537,Unknown,10/15/20,11/1/20,34.27484,-112.4189,"Dormant Brush, Hardwood Slash",AZ,PNF,2178,USFS,7,CWZ,PDC
HABANERO,AZ-A3S,2289,3218,Unknown,10/21/20,11/4/20,33.2719444,-110.9838889,Short Grass (1 foot),AZ,A3S,2289,AZS,5,SEZ,TDC
Trail,AZ-PHD,2241,1674,Unknown,10/24/20,11/2/20,34.1472222,-112.1177778,Tall Grass (2.5 feet),AZ,PHD,2241,BLM,2,CWZ,PDC
THREE HILLS ,AZ-BAR,1013,1350,Human,10/27/20,10/31/20,31.60625,-111.5021,Short Grass (1 foot),AZ,BAR,1013,FWS,3,SEZ,TDC
ROUND VALLEY,AZ-CNF,1018,1587,Human,10/31/20,11/6/20,31.70448,-109.2033,Short Grass (1 foot),AZ,CNF,1018,USFS,7,SEZ,TDC
WHITE CANYON,AZ-GID,1031,500,Lightning/Natural,11/7/20,11/8/20,33.1855556,-111.0844444,Short Grass (1 foot),AZ,GID,1031,BLM,2,SEZ,TDC
